idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
0, id, 0.8086, 0.7628, -0.0396, 0.2097
1, HRMONTH, 0.8080, 0.7612, -0.1239, 0.0028
2, HRYEAR4, 0.8070, 0.7603, -0.2373, -0.1141
3, HURESPLI, 0.7980, 0.7634, -1.3493, 0.2945
4, HUFINAL, 0.8083, 0.7602, -0.0799, -0.1375
5, HUSPNISH, 0.8066, 0.7597, -0.2937, -0.1924
6, HETENURE, 0.8052, 0.7573, -0.4631, -0.5098
7, HEHOUSUT, 0.8059, 0.7586, -0.3774, -0.3428
8, HETELHHD, 0.8092, 0.7616, 0.0296, 0.0511
9, HETELAVL, 0.7992, 0.7636, -1.2107, 0.3196
10, HEPHONEO, 0.7872, 0.7562, -2.6893, -0.6603
11, HUFAMINC, 0.8056, 0.7593, -0.4154, -0.2516
12, HUTYPEA, 0.7998, 0.7610, -1.1351, -0.0312
13, HUTYPB, 0.8009, 0.7568, -0.9963, -0.5846
14, HUTYPC, 0.8071, 0.7586, -0.2322, -0.3422
15, HWHHWGT, 0.8084, 0.7614, -0.0634, 0.0262
16, HRINTSTA, 0.8071, 0.7607, -0.2263, -0.0669
17, HRNUMHOU, 0.8081, 0.7613, -0.1075, 0.0129
18, HRHTYPE, 0.8106, 0.7607, 0.1991, -0.0605
19, HRMIS, 0.8092, 0.7638, 0.0247, 0.3404
20, HUINTTYP, 0.8069, 0.7615, -0.2513, 0.0361
21, HUPRSCNT, 0.8099, 0.7641, 0.1173, 0.3830
22, HRLONGLK, 0.7992, 0.7621, -1.2059, 0.1222
23, HRHHID2, 0.8079, 0.7622, -0.1294, 0.1300
24, HUBUS, 0.7989, 0.7619, -1.2449, 0.0937
25, HUBUSL1, 0.8085, 0.7609, -0.0610, -0.0344
26, HUBUSL2, 0.8052, 0.7593, -0.4690, -0.2531
27, HUBUSL3, 0.8092, 0.7635, 0.0330, 0.2975
28, HUBUSL4, 0.8001, 0.7627, -1.1013, 0.1982
29, GEREG, 0.7845, 0.7564, -3.0217, -0.6356
30, GESTCEN, 0.8049, 0.7597, -0.5061, -0.1964
31, GESTFIPS, 0.8061, 0.7601, -0.3502, -0.1425
32, GTCBSA, 0.8018, 0.7637, -0.8845, 0.3259
33, GTCO, 0.8065, 0.7615, -0.3090, 0.0430
34, GTCBSAST, 0.8059, 0.7586, -0.3775, -0.3391
35, GTMETSTA, 0.8079, 0.7609, -0.1281, -0.0367
36, GTINDVPC, 0.7809, 0.7537, -3.4667, -0.9888
37, GTCBSASZ, 0.8069, 0.7613, -0.2510, 0.0087
38, GTCSA, 0.8076, 0.7604, -0.1622, -0.1101
39, PERRP, 0.8091, 0.7631, 0.0189, 0.2544
40, PEPARENT, 0.8086, 0.7591, -0.0468, -0.2732
41, PEAGE, 0.8002, 0.7582, -1.0770, -0.3944
42, PRTFAGE, 0.8076, 0.7603, -0.1625, -0.1127
43, PEMARITL, 0.8049, 0.7608, -0.5073, -0.0530
44, PESPOUSE, 0.8070, 0.7594, -0.2484, -0.2427
45, PESEX, 0.8056, 0.7585, -0.4131, -0.3519
46, PEAFEVER, 0.8045, 0.7602, -0.5467, -0.1290
47, PEAFNOW, 0.8007, 0.7610, -1.0221, -0.0291
48, PEEDUCA, 0.8038, 0.7563, -0.6333, -0.6477
49, PTDTRACE, 0.8051, 0.7625, -0.4719, 0.1757
50, PRDTHSP, 0.8072, 0.7589, -0.2186, -0.3010
51, PUCHINHH, 0.8077, 0.7624, -0.1541, 0.1551
52, PULINENO, 0.8023, 0.7622, -0.8246, 0.1368
53, PRFAMNUM, 0.8083, 0.7596, -0.0812, -0.2065
54, PRFAMREL, 0.8072, 0.7609, -0.2120, -0.0362
55, PRFAMTYP, 0.8089, 0.7622, -0.0048, 0.1260
56, PEHSPNON, 0.8043, 0.7635, -0.5700, 0.3038
57, PRMARSTA, 0.7992, 0.7613, -1.2005, 0.0168
58, PRPERTYP, 0.8063, 0.7595, -0.3285, -0.2280
59, PENATVTY, 0.8075, 0.7605, -0.1843, -0.0985
60, PEMNTVTY, 0.8056, 0.7614, -0.4201, 0.0220
61, PEFNTVTY, 0.8069, 0.7594, -0.2576, -0.2352
62, PRCITSHP, 0.8064, 0.7606, -0.3114, -0.0807
63, PRCITFLG, 0.8082, 0.7608, -0.0906, -0.0470
64, PRINUSYR, 0.8062, 0.7607, -0.3441, -0.0662
65, PUSLFPRX, 0.8053, 0.7607, -0.4545, -0.0634
66, PEMLR, 0.7990, 0.7632, -1.2305, 0.2680
67, PUWK, 0.8093, 0.7622, 0.0470, 0.1323
68, PUBUS1, 0.8080, 0.7609, -0.1212, -0.0399
