idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
338, PEGRPROF,0.7816,0.751,-3.3843,-1.3399
36, GTINDVPC,0.7809,0.7537,-3.4667,-0.9888
140, PELKLL1O,0.786,0.7547,-2.8413,-0.8598
10, HEPHONEO,0.7872,0.7562,-2.6893,-0.6603
48, PEEDUCA,0.8038,0.7563,-0.6333,-0.6477
29, GEREG,0.7845,0.7564,-3.0217,-0.6356
122, PULKM3,0.8048,0.7566,-0.5138,-0.6087
13, HUTYPB,0.8009,0.7568,-0.9963,-0.5846
309, PXJHWANT,0.806,0.7568,-0.3662,-0.5821
332, PXSCHLVL,0.8036,0.7569,-0.6608,-0.5632
248, PRWERNAL,0.8057,0.757,-0.398,-0.5473
6, HETENURE,0.8052,0.7573,-0.4631,-0.5098
190, PUIOCK1,0.8062,0.7575,-0.3408,-0.4834
200, PRDTIND1,0.8061,0.7578,-0.3581,-0.4504
149, PEDW4WK,0.7899,0.7578,-2.351,-0.4431
307, PXJHWKO,0.8053,0.7581,-0.4585,-0.4122
148, PEDWWK,0.8075,0.7581,-0.1792,-0.4093
381, PXDISOUT,0.8046,0.7582,-0.5403,-0.3975
192, PUIOCK3,0.8065,0.7582,-0.2995,-0.3949
41, PEAGE,0.8002,0.7582,-1.077,-0.3944
361, PEDADTYP,0.8066,0.7583,-0.2915,-0.3781
178, PRWKSTAT,0.7887,0.7584,-2.5022,-0.3743
236, PUNLFCK2,0.8068,0.7585,-0.2646,-0.3598
45, PESEX,0.8056,0.7585,-0.4131,-0.3519
7, HEHOUSUT,0.8059,0.7586,-0.3774,-0.3428
14, HUTYPC,0.8071,0.7586,-0.2322,-0.3422
34, GTCBSAST,0.8059,0.7586,-0.3775,-0.3391
99, PEHRACTT,0.8084,0.7586,-0.0742,-0.3388
380, PXDISDRS,0.8058,0.7586,-0.393,-0.3386
367, PXMOMTYP,0.8067,0.7587,-0.2784,-0.3258
117, PULAYCK2,0.8039,0.7587,-0.6223,-0.3251
203, PRDTOCC2,0.789,0.7587,-2.4713,-0.324
265, PXRACE1,0.8072,0.7587,-0.2117,-0.3232
277, PXHRUSL2,0.7986,0.7588,-1.2805,-0.3133
71, PUBUSCK2,0.8072,0.7588,-0.2131,-0.3097
240, PRNLFSCH,0.8071,0.7589,-0.2334,-0.3032
50, PRDTHSP,0.8072,0.7589,-0.2186,-0.301
290, PXLAYDUR,0.8067,0.759,-0.2851,-0.2851
214, PEERNUOT,0.8057,0.7591,-0.3998,-0.2755
371, PEDISREM,0.8067,0.7591,-0.2746,-0.2746
373, PEDISDRS,0.8074,0.7591,-0.1941,-0.2741
40, PEPARENT,0.8086,0.7591,-0.0468,-0.2732
296, PXLKLWO,0.8065,0.7592,-0.3031,-0.2647
156, PUDWCK4,0.8081,0.7592,-0.1047,-0.2644
328, PXNLFRET,0.8067,0.7593,-0.2838,-0.2554
26, HUBUSL2,0.8052,0.7593,-0.469,-0.2531
11, HUFAMINC,0.8056,0.7593,-0.4154,-0.2516
211, PRNAGWS,0.8074,0.7593,-0.1947,-0.2496
152, PEDWAVR,0.8085,0.7594,-0.0546,-0.243
44, PESPOUSE,0.807,0.7594,-0.2484,-0.2427
318, PXERNH1O,0.8069,0.7594,-0.2565,-0.2427
289, PXLAYLK,0.8071,0.7594,-0.2243,-0.2409
113, PELAYLK,0.8064,0.7594,-0.3166,-0.2371
252, HXTELHHD,0.8071,0.7594,-0.2307,-0.2364
61, PEFNTVTY,0.8069,0.7594,-0.2576,-0.2352
302, PXDWWK,0.8069,0.7594,-0.2598,-0.235
110, PULAY6M,0.8052,0.7594,-0.4646,-0.2318
58, PRPERTYP,0.8063,0.7595,-0.3285,-0.228
